                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2541,                 3.7648,                  1.367,                0.00176,                0.98276,                0.39744,                0.28916,                0.66648,                 67.009,                0.86991,                0.00012,                0.00012,                0.00012
                      2,                 1.2097,                 3.3487,                 1.2689,                0.00179,                      1,                0.39369,                0.29016,                0.62289,                 65.269,                0.82259,             0.00024713,             0.00024713,             0.00024713
                      3,                 1.2657,                 2.9683,                 1.3126,                0.00179,                      1,                0.38875,                0.25599,                0.69014,                 65.202,                0.84722,              0.0003604,              0.0003604,              0.0003604
                      4,                 1.1355,                 2.8675,                 1.2546,                0.00334,                0.96552,                0.60617,                0.44336,                0.64218,                 65.704,                0.82967,             0.00045981,             0.00045981,             0.00045981
                      5,                 1.1436,                 2.5936,                 1.2019,                0.88078,                0.38221,                0.69083,                0.51173,                0.71364,                 64.583,                0.90886,             0.00054536,             0.00054536,             0.00054536
                      6,                 1.1466,                 3.1083,                 1.2317,                      1,                0.22938,                0.75952,                0.52235,                0.84012,                 62.939,                0.96279,             0.00061705,             0.00061705,             0.00061705
                      7,                 1.2514,                 3.3125,                 1.3971,                0.76593,                    0.5,                0.66347,                0.44832,                0.90631,                 60.338,                 1.0237,             0.00067488,             0.00067488,             0.00067488
                      8,                 1.2871,                 3.2675,                 1.3633,                0.78487,                0.37748,                0.59935,                0.41399,                0.90926,                 58.097,                 1.0516,             0.00071885,             0.00071885,             0.00071885
                      9,                 1.1945,                 2.3368,                 1.2569,                0.64098,                0.74138,                0.65844,                0.41722,                0.92548,                 56.595,                 1.0699,             0.00074896,             0.00074896,             0.00074896
                     10,                 1.1529,                 2.5236,                 1.2948,                0.82914,                 0.6694,                0.73776,                0.51085,                0.86413,                 56.521,                 1.0139,             0.00076521,             0.00076521,             0.00076521
                     11,                 1.1033,                 4.2241,                 1.2885,                0.68483,                0.59948,                0.67785,                 0.4278,                  1.016,                 57.363,                 1.1198,              0.0007676,              0.0007676,              0.0007676
                     12,                 1.2196,                 4.7483,                 1.2208,                0.68202,                0.58621,                0.61097,                0.38118,                0.84229,                   55.4,                0.97398,             0.00075613,             0.00075613,             0.00075613
                     13,                 1.0262,                  3.485,                 1.1279,                0.58926,                 0.6679,                0.66834,                0.41225,                0.90785,                 53.825,                0.96773,              0.0007308,              0.0007308,              0.0007308
                     14,                 1.3686,                 4.0224,                 1.4081,                0.72496,                0.56897,                0.66705,                0.39293,                0.91622,                 46.096,                0.99352,             0.00069161,             0.00069161,             0.00069161
                     15,                 1.0327,                 3.3049,                 1.1574,                0.78733,                0.53448,                0.71684,                0.48948,                0.79579,                 44.607,                0.93621,               0.000614,               0.000614,               0.000614
                     16,                 1.1062,                 3.4876,                 1.2811,                0.65034,                0.67241,                0.65467,                0.43783,                0.84524,                 48.398,                0.95638,               0.000614,               0.000614,               0.000614
                     17,                 1.1649,                 3.8781,                 1.2095,                0.75709,                0.64492,                0.71156,                0.49085,                0.80911,                 49.966,                0.91745,               0.000515,               0.000515,               0.000515
                     18,                 1.0272,                 3.6143,                 1.1448,                 0.9263,                0.65014,                 0.8199,                0.59816,                0.71821,                 50.374,                0.86177,               0.000416,               0.000416,               0.000416
                     19,                0.97983,                 5.0498,                 1.2133,                0.95383,                0.75862,                0.87174,                0.60703,                0.75166,                 50.056,                0.86891,               0.000317,               0.000317,               0.000317
                     20,                0.89296,                  2.904,                 1.1551,                0.90957,                0.75862,                0.88015,                0.64547,                0.70849,                 48.012,                0.85795,               0.000218,               0.000218,               0.000218
